"id","geom"
524,POINT (274286.4681361266 4014671.7494355068)
525,POINT (221041.8887661891 4138166.985980031)
526,POINT (250507.4192825647 4122453.6793959443)
527,POINT (237699.6829070005 4143654.9722213736)
528,POINT (379274.80581105856 4241410.165401288)
529,POINT (381590.9538544742 4203477.57764389)
530,POINT (367630.3357603553 4148077.578167717)
531,POINT (331367.69455768156 4075235.0646457644)
532,POINT (223920.4241902462 4051405.657881268)
533,POINT (300836.36853666126 4248707.483113412)
534,POINT (567297.9193463878 4135883.267063115)
535,POINT (146852.82856661433 4135618.220037938)
536,POINT (351301.169453453 4076297.0264589977)
537,POINT (290050.9030186577 4013884.016689758)
538,POINT (329956.28591621097 4191111.1271195062)
539,POINT (263126.4506885884 4149443.1849847874)
540,POINT (237736.72322196575 4156644.23759074)
541,POINT (257331.51915231082 4135530.212243345)
542,POINT (204319.466542 4205120.2193991635)
543,POINT (249157.52347120995 4143487.9092464917)
544,POINT (360293.9555383964 4052318.138051052)
545,POINT (573582.6415321655 4136455.5912557016)
546,POINT (555956.3183635033 4080245.6071823086)
547,POINT (232804.79506958273 4017164.1144565954)
548,POINT (340867.5411780968 4088137.5038564177)
549,POINT (271660.8142755328 4015730.478312214)
550,POINT (202758.09296915316 4122901.450525709)
551,POINT (213374.24240563868 4048141.1296275663)
552,POINT (332325.38937824004 4191950.884631207)
553,POINT (266560.6926182665 4020659.1836328018)
554,POINT (222291.89384160173 4134465.147758598)
555,POINT (207697.09805797256 4188890.555166651)
556,POINT (386887.65920993173 4164946.1091381367)
557,POINT (199191.45416077788 4195468.957327807)
558,POINT (390210.6051808492 4213046.864688595)
559,POINT (554909.4518092241 4099528.01438763)
560,POINT (333848.1891799464 4044533.586531156)
561,POINT (243211.02990819202 4126989.662843893)
562,POINT (313458.9845428232 4112965.573894464)
563,POINT (386241.648772725 4203834.946088075)
564,POINT (220115.5594702289 4147554.77146107)
565,POINT (450521.1653571139 4095963.8449061024)
566,POINT (293829.9122956643 4224842.926311013)
567,POINT (595787.6999632085 4091967.2728230157)
568,POINT (341058.59674154903 4089524.9737048377)
569,POINT (210060.9246748727 4065866.174831325)
570,POINT (276223.3315340504 4111555.1253907382)
571,POINT (613452.8619250287 4142260.5617939266)
572,POINT (508682.8801335071 4076959.645822916)
573,POINT (441210.49919344124 4111599.5522935293)
574,POINT (220425.08224093894 4062700.531923082)
575,POINT (224301.74852130286 4068856.8573629297)
576,POINT (340179.5554575645 4191355.86264215)
577,POINT (239414.46227748235 4131875.2474805075)
578,POINT (241730.91445159964 4200831.042724167)
579,POINT (421423.0933791778 4212635.204353124)
580,POINT (395813.24829564407 4213088.007864598)
581,POINT (249497.13835525917 4114310.123437029)
582,POINT (498549.84394807223 4101434.1245619324)
583,POINT (399218.73376871576 4169593.5853526443)
584,POINT (369398.10328886757 4140647.1986848083)
585,POINT (503451.8339500937 4084853.583425182)
586,POINT (118015.2773570415 4128739.619588106)
587,POINT (241192.84226677433 4042152.4604418795)
588,POINT (538151.8637000219 4172728.3684816062)
589,POINT (196242.4523531499 4064556.5501367236)
